filename,sample_index,start_time,end_time,Batrachyla taeniata_confidence,Batrachyla taeniata_annotation
TURBERABLEST_20230117_150000,3,9,12,0.6956,0
TURBERABLEST_20230117_150000,4,12,15,0.6003,0
TURBERABLEST_20230117_150000,5,15,18,0.8136,0
TURBERABLEST_20230117_150000,6,18,21,0.8426,0
TURBERABLEST_20230117_150000,7,21,24,0.0,0
TURBERABLEST_20230117_150000,8,24,27,0.5987,0
TURBERABLEST_20230117_150000,9,27,30,0.791,0
TURBERABLEST_20230117_150000,10,30,33,0.3608,0
TURBERABLEST_20230117_150000,11,33,36,0.0,0
TURBERABLEST_20230117_150000,12,36,39,0.0,0
TURBERABLEST_20230117_150000,13,39,42,0.4962,0
TURBERABLEST_20230117_150000,14,42,45,0.0,0
TURBERABLEST_20230117_150000,15,45,48,0.4293,0
TURBERABLEST_20230117_150000,16,48,51,0.7644,0
TURBERABLEST_20230117_150000,17,51,54,0.9597,0
TURBERABLEST_20230117_150000,18,54,57,0.8691,0
TURBERABLEST_20230117_150000,19,57,60,0.0,0
TURBERABLEST_20230117_180000,0,0,3,0.9997,1
TURBERABLEST_20230117_180000,1,3,6,0.9994,1
TURBERABLEST_20230117_180000,2,6,9,0.9983,1
TURBERABLEST_20230117_180000,3,9,12,0.9993,1
TURBERABLEST_20230117_180000,4,12,15,0.9999,1
TURBERABLEST_20230117_180000,5,15,18,0.9998,1
TURBERABLEST_20230117_180000,6,18,21,0.9999,1
TURBERABLEST_20230117_180000,7,21,24,1.0,1
TURBERABLEST_20230117_180000,8,24,27,1.0,1
TURBERABLEST_20230117_180000,9,27,30,0.9999,1
TURBERABLEST_20230117_180000,10,30,33,1.0,1
TURBERABLEST_20230117_180000,11,33,36,0.9999,1
TURBERABLEST_20230117_180000,12,36,39,0.9999,1
TURBERABLEST_20230117_180000,13,39,42,0.9999,1
TURBERABLEST_20230117_180000,14,42,45,0.9999,1
TURBERABLEST_20230117_180000,15,45,48,0.9999,1
TURBERABLEST_20230117_180000,16,48,51,0.9999,1
TURBERABLEST_20230117_180000,17,51,54,0.9998,1
TURBERABLEST_20230117_180000,18,54,57,0.9999,1
TURBERABLEST_20230117_180000,19,57,60,0.9999,1
TURBERABLEST_20230117_100000,0,0,3,0.0,0
TURBERABLEST_20230117_100000,1,3,6,0.0,0
TURBERABLEST_20230117_100000,2,6,9,0.0,0
TURBERABLEST_20230117_100000,3,9,12,0.0,0
TURBERABLEST_20230117_100000,4,12,15,0.9952,1
TURBERABLEST_20230117_100000,5,15,18,0.8559,1
TURBERABLEST_20230117_100000,6,18,21,0.0,0
TURBERABLEST_20230117_100000,7,21,24,0.0,0
TURBERABLEST_20230117_100000,8,24,27,0.0,0
TURBERABLEST_20230117_100000,9,27,30,0.0,0
TURBERABLEST_20230117_100000,10,30,33,0.0,0
TURBERABLEST_20230117_100000,11,33,36,0.0,0
TURBERABLEST_20230117_100000,12,36,39,0.0,0
TURBERABLEST_20230117_100000,13,39,42,0.0,0
TURBERABLEST_20230117_100000,14,42,45,0.0,0
TURBERABLEST_20230117_100000,15,45,48,0.0,0
TURBERABLEST_20230117_100000,16,48,51,0.0,0
TURBERABLEST_20230117_100000,17,51,54,0.0,0
TURBERABLEST_20230117_100000,18,54,57,0.0,0
TURBERABLEST_20230117_100000,19,57,60,0.0,0
TURBERABLEST_20230118_110000,0,0,3,1.0,1
TURBERABLEST_20230118_110000,1,3,6,1.0,1
TURBERABLEST_20230118_110000,2,6,9,1.0,1
TURBERABLEST_20230118_110000,3,9,12,1.0,1
TURBERABLEST_20230118_110000,4,12,15,1.0,1
TURBERABLEST_20230118_110000,5,15,18,1.0,1
TURBERABLEST_20230118_110000,6,18,21,1.0,1
TURBERABLEST_20230118_110000,7,21,24,0.9999,1
TURBERABLEST_20230118_110000,8,24,27,0.0,0
TURBERABLEST_20230118_110000,9,27,30,0.0,0
TURBERABLEST_20230118_110000,10,30,33,0.0,0
TURBERABLEST_20230118_110000,11,33,36,0.0,0
TURBERABLEST_20230118_110000,12,36,39,0.8866,1
TURBERABLEST_20230118_110000,13,39,42,0.9924,1
TURBERABLEST_20230118_110000,14,42,45,0.0,0
TURBERABLEST_20230118_110000,15,45,48,0.0,0
TURBERABLEST_20230118_110000,16,48,51,0.0,0
TURBERABLEST_20230118_110000,17,51,54,0.0,0
TURBERABLEST_20230118_110000,18,54,57,0.0,0
TURBERABLEST_20230118_110000,19,57,60,0.0,0
TURBERABLEST_20230122_080000,0,0,3,0.0,0
TURBERABLEST_20230122_080000,1,3,6,0.0,0
TURBERABLEST_20230122_080000,2,6,9,0.0,0
TURBERABLEST_20230122_080000,3,9,12,0.3352,0
TURBERABLEST_20230122_080000,4,12,15,0.4038,0
TURBERABLEST_20230122_080000,5,15,18,0.0,0
TURBERABLEST_20230122_080000,6,18,21,0.0,0
TURBERABLEST_20230122_080000,7,21,24,0.0,0
TURBERABLEST_20230122_080000,8,24,27,0.3334,0
TURBERABLEST_20230122_080000,9,27,30,0.0,0
TURBERABLEST_20230122_080000,10,30,33,0.0,0
TURBERABLEST_20230122_080000,11,33,36,0.0,0
TURBERABLEST_20230122_080000,12,36,39,0.0,0
TURBERABLEST_20230122_080000,13,39,42,0.0,0
TURBERABLEST_20230122_080000,14,42,45,0.0,0
TURBERABLEST_20230122_080000,15,45,48,0.0,0
TURBERABLEST_20230122_080000,16,48,51,0.0,0
TURBERABLEST_20230122_080000,17,51,54,0.0,0
TURBERABLEST_20230122_080000,18,54,57,0.0,0
TURBERABLEST_20230122_080000,19,57,60,0.0,0
