Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
24	Spectrogram 1	1	234.0698474	239.5455112	456.8	4141.5	TURBERABLEST_20230102_060000.wav	54.1384	5.4757	Batrachyla antartandica	60	59.6141
25	Spectrogram 1	1	387.525776	397.2995378	791.8	4019.7	TURBERABLEST_20230102_140000.wav	27.6629	9.7738	Batrachyla antartandica	60	37.4367
26	Spectrogram 1	1	397.7509364	406.8181626	274.1	4232.9	TURBERABLEST_20230102_140000.wav	37.8881	9.0672	Batrachyla antartandica	60	46.9553
27	Spectrogram 1	1	406.9555448	411.1947668	456.8	4232.9	TURBERABLEST_20230102_140000.wav	47.0927	4.2392	Batrachyla antartandica	60	51.3319
28	Spectrogram 1	1	479.9349463	490.9058958	517.7	3410.7	TURBERABLEST_20230104_200000.wav	0.1178	10.9709	Batrachyla antartandica	60	11.0887
29	Spectrogram 1	1	505.2721511	508.2945594	822.2	3319.3	TURBERABLEST_20230104_200000.wav	25.455	3.0224	Batrachyla antartandica	60	28.4774
30	Spectrogram 1	1	527.5476946	533.2392426	944	3228	TURBERABLEST_20230104_200000.wav	47.7305	5.6915	Batrachyla antartandica	60	53.422
31	Spectrogram 1	1	534.5738125	538.6167742	852.7	2832.1	TURBERABLEST_20230104_200000.wav	54.7567	4.043	Batrachyla antartandica	60	58.7997
32	Spectrogram 1	1	540.8541424	544.9952342	1248.6	6577.8	TURBERABLEST_20230104_210000.wav	1.0599	4.1411	Batrachyla antartandica	60	5.201
33	Spectrogram 1	1	551.3236119	555.2488174	822.2	3045.3	TURBERABLEST_20230104_210000.wav	11.5293	3.9252	Batrachyla antartandica	60	15.4545
34	Spectrogram 1	1	564.2179142	570.3608609	639.5	5024.7	TURBERABLEST_20230104_210000.wav	24.4236	6.1429	Batrachyla antartandica	60	30.5665
35	Spectrogram 1	1	576.7393211	579.8794856	426.3	5999.2	TURBERABLEST_20230104_210000.wav	36.945	3.1402	Batrachyla antartandica	60	40.0852
36	Spectrogram 1	1	580.5271445	580.880413	913.6	6364.6	TURBERABLEST_20230104_210000.wav	40.7329	0.3533	Batrachyla antartandica	60	41.0862
37	Spectrogram 1	1	593.5195771	599.5840197	822.2	4232.9	TURBERABLEST_20230104_210000.wav	53.7253	6.0644	Batrachyla antartandica	60	59.7897
