Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Common Name	Duration	Corrected_End_Time
27	Spectrogram 1	1	285.9100495	299.9596314	1301	2563.1	20231211_050000.WAV	14.0496	45.91	Pleurodema thaul	60	59.9596
28	Spectrogram 1	1	385.1384804	394.6899748	1320.4	2427.2	20231211_210000.WAV	9.5515	25.1385	Pleurodema thaul	60	34.69
29	Spectrogram 1	1	395.4951888	401.5342878	1281.6	2213.6	20231211_210000.WAV	6.0391	35.4952	Pleurodema thaul	60	41.5343
30	Spectrogram 1	1	406.9764187	410.3361013	1029.1	2582.5	20231211_210000.WAV	3.3597	46.9764	Pleurodema thaul	60	50.3361
31	Spectrogram 1	1	423.1778647	425.0104189	1048.5	2563.1	20231212_050000.WAV	1.8326	3.1779	Pleurodema thaul	60	5.0105
32	Spectrogram 1	1	428.0507928	432.923721	1126.2	2757.3	20231212_050000.WAV	4.8729	8.0508	Pleurodema thaul	60	12.9237
33	Spectrogram 1	1	433.8955309	438.0187777	1068	2446.6	20231212_050000.WAV	4.1232	13.8955	Pleurodema thaul	60	18.0187
34	Spectrogram 1	1	452.984638	454.5950644	912.6	2349.5	20231212_050000.WAV	1.6104	32.9846	Pleurodema thaul	60	34.595
35	Spectrogram 1	1	457.1772998	460.1899078	1068	2446.6	20231212_050000.WAV	3.0126	37.1773	Pleurodema thaul	60	40.1899
36	Spectrogram 1	1	465.854167	468.1448597	1184.5	2427.2	20231212_050000.WAV	2.2907	45.8542	Pleurodema thaul	60	48.1449
37	Spectrogram 1	1	468.6585302	472.0598618	1048.5	2835	20231212_050000.WAV	3.4013	48.6585	Pleurodema thaul	60	52.0598
38	Spectrogram 1	1	478.9597067	479.9731647	1281.6	2213.6	20231212_050000.WAV	1.0135	58.9597	Pleurodema thaul	60	59.9732
