filename,sample_index,start_time,end_time,Pleurodema thaul_confidence,Pleurodema thaul_annotation
20231212_050000,1,3,6,0.9786,1
20231212_050000,2,6,9,0.9866,1
20231212_050000,3,9,12,0.9818,1
20231212_050000,4,12,15,0.9349,1
20231212_050000,5,15,18,0.986,1
20231212_050000,6,18,21,0.863,1
20231212_050000,7,21,24,0.6141,0
20231212_050000,8,24,27,0.554,0
20231212_050000,9,27,30,0.0,0
20231212_050000,10,30,33,0.4826,1
20231212_050000,11,33,36,0.9909,1
20231212_050000,12,36,39,0.9854,1
20231212_050000,13,39,42,0.9958,1
20231212_050000,14,42,45,0.2918,0
20231212_050000,15,45,48,0.9932,1
20231212_050000,16,48,51,0.9976,1
20231212_050000,17,51,54,0.9871,1
20231212_050000,18,54,57,0.5704,0
20231212_050000,19,57,60,0.9695,1
20231211_160000,0,0,3,0.0,0
20231211_160000,1,3,6,0.3597,0
20231211_160000,2,6,9,0.2966,0
20231211_160000,3,9,12,0.0,0
20231211_160000,4,12,15,0.0,0
20231211_160000,5,15,18,0.3541,0
20231211_160000,6,18,21,0.3281,0
20231211_160000,7,21,24,0.2582,0
20231211_160000,8,24,27,0.3758,0
20231211_160000,9,27,30,0.0,0
20231211_160000,10,30,33,0.0,0
20231211_160000,11,33,36,0.0,0
20231211_160000,12,36,39,0.0,0
20231211_160000,13,39,42,0.0,0
20231211_160000,14,42,45,0.2698,0
20231211_160000,15,45,48,0.3619,0
20231211_160000,16,48,51,0.0,0
20231211_160000,17,51,54,0.2803,0
20231211_160000,18,54,57,0.0,0
20231211_160000,19,57,60,0.3251,0
20231212_210000,0,0,3,0.4297,0
20231212_210000,1,3,6,0.5404,0
20231212_210000,2,6,9,0.5236,0
20231212_210000,3,9,12,0.3,0
20231212_210000,4,12,15,0.3997,0
20231212_210000,5,15,18,0.603,0
20231212_210000,6,18,21,0.0,0
20231212_210000,7,21,24,0.8998,0
20231212_210000,8,24,27,0.7882,0
20231212_210000,9,27,30,0.4721,0
20231212_210000,10,30,33,0.4337,0
20231212_210000,11,33,36,0.3234,0
20231212_210000,12,36,39,0.6508,0
20231212_210000,13,39,42,0.8683,0
20231212_210000,14,42,45,0.669,0
20231212_210000,15,45,48,0.8086,0
20231212_210000,16,48,51,0.2843,0
20231212_210000,17,51,54,0.3691,0
20231212_210000,18,54,57,0.5075,0
20231212_210000,19,57,60,0.5888,0
20231208_200000,0,0,3,0.0,0
20231208_200000,1,3,6,0.0,0
20231208_200000,2,6,9,0.0,1
20231208_200000,3,9,12,0.7679,1
20231208_200000,4,12,15,0.0,1
20231208_200000,5,15,18,0.3964,1
20231208_200000,6,18,21,0.9777,1
20231208_200000,7,21,24,0.6357,0
20231208_200000,8,24,27,0.8754,1
20231208_200000,9,27,30,0.7951,1
20231208_200000,10,30,33,0.7294,0
20231208_200000,11,33,36,0.5441,0
20231208_200000,12,36,39,0.6294,0
20231208_200000,13,39,42,0.6146,0
20231208_200000,14,42,45,0.8709,0
20231208_200000,15,45,48,0.7506,0
20231208_200000,16,48,51,0.2937,0
20231208_200000,17,51,54,0.0,0
20231208_200000,18,54,57,0.2754,1
20231208_200000,19,57,60,0.2984,0
20231210_160000,0,0,3,0.8686,1
20231210_160000,1,3,6,0.6868,1
20231210_160000,2,6,9,0.3411,0
20231210_160000,3,9,12,0.0,0
20231210_160000,4,12,15,0.713,0
20231210_160000,5,15,18,0.454,0
20231210_160000,6,18,21,0.6297,1
20231210_160000,7,21,24,0.9969,1
20231210_160000,8,24,27,0.9692,1
20231210_160000,9,27,30,0.3322,0
20231210_160000,10,30,33,0.6776,0
20231210_160000,11,33,36,0.4087,0
20231210_160000,12,36,39,0.326,0
20231210_160000,13,39,42,0.2762,0
20231210_160000,14,42,45,0.6678,0
20231210_160000,15,45,48,0.6809,0
20231210_160000,16,48,51,0.0,0
20231210_160000,17,51,54,0.4821,0
20231210_160000,18,54,57,0.7585,0
20231210_160000,19,57,60,0.525,0
20231213_070000,0,0,3,0.0,0
20231213_070000,1,3,6,0.6393,0
20231213_070000,2,6,9,0.6079,0
20231213_070000,3,9,12,0.8347,0
20231213_070000,4,12,15,0.4848,0
20231213_070000,5,15,18,0.0,0
20231213_070000,6,18,21,0.2644,0
20231213_070000,7,21,24,0.3853,0
20231213_070000,8,24,27,0.7102,0
20231213_070000,9,27,30,0.4952,0
20231213_070000,10,30,33,0.3439,0
20231213_070000,11,33,36,0.4265,0
20231213_070000,12,36,39,0.4504,0
20231213_070000,13,39,42,0.3407,0
20231213_070000,14,42,45,0.0,0
20231213_070000,15,45,48,0.3275,0
20231213_070000,16,48,51,0.511,0
20231213_070000,17,51,54,0.4519,0
20231213_070000,18,54,57,0.8151,0
20231213_070000,19,57,60,0.6283,0
20231211_210000,0,0,3,0.5884,0
20231211_210000,1,3,6,0.4477,0
20231211_210000,2,6,9,0.3674,0
20231211_210000,3,9,12,0.3682,0
20231211_210000,4,12,15,0.31,0
20231211_210000,5,15,18,0.3226,0
20231211_210000,6,18,21,0.5573,0
20231211_210000,7,21,24,0.6437,0
20231211_210000,8,24,27,0.7303,1
20231211_210000,9,27,30,0.758,1
20231211_210000,10,30,33,0.9328,1
20231211_210000,11,33,36,0.9507,1
20231211_210000,12,36,39,0.8435,1
20231211_210000,13,39,42,0.975,1
20231211_210000,14,42,45,0.5578,0
20231211_210000,15,45,48,0.9814,1
20231211_210000,16,48,51,0.9953,1
20231211_210000,17,51,54,0.7982,0
20231211_210000,18,54,57,0.2977,0
20231211_210000,19,57,60,0.5872,0
