Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
12	Spectrogram 1	1	79.158385220	89.164204950	481.700	2551.100	BLESTCANTARO_20230101_010000.wav	19.1812	10.0058	Hylorina sylvatica	60	29.187
13	Spectrogram 1	1	89.219716340	99.281046850	535.200	2194.300	BLESTCANTARO_20230101_010000.wav	29.2426	10.0613	Hylorina sylvatica	60	39.3039
14	Spectrogram 1	1	99.544723780	109.467277300	392.500	2426.200	BLESTCANTARO_20230101_010000.wav	39.5676	9.9226	Hylorina sylvatica	60	49.4902
15	Spectrogram 1	1	109.952997500	119.903306400	321.100	2693.800	BLESTCANTARO_20230101_010000.wav	49.9759	9.9503	Hylorina sylvatica	60	59.9262
16	Spectrogram 1	1	120.458413300	121.207809000	856.300	1980.200	BLESTCANTARO_20230101_020000.wav	0.5041	0.7494	Hylorina sylvatica	60	1.2535
17	Spectrogram 1	1	126.245413100	127.341751200	1106.100	2140.800	BLESTCANTARO_20230101_020000.wav	6.2911	1.0963	Hylorina sylvatica	60	7.3874
18	Spectrogram 1	1	128.646254700	131.116484800	1034.700	2140.800	BLESTCANTARO_20230101_020000.wav	8.6920	2.4702	Hylorina sylvatica	60	11.1622
19	Spectrogram 1	1	136.154088500	136.945117200	1248.800	1998.100	BLESTCANTARO_20230101_020000.wav	16.1998	0.7910	Hylorina sylvatica	60	16.9908
20	Spectrogram 1	1	137.694512800	139.082282600	1016.900	2337.000	BLESTCANTARO_20230101_020000.wav	17.7402	1.3878	Hylorina sylvatica	60	19.128
21	Spectrogram 1	1	139.345958800	140.123109900	1070.400	2033.700	BLESTCANTARO_20230101_020000.wav	19.3917	0.7772	Hylorina sylvatica	60	20.1689
22	Spectrogram 1	1	141.316591800	142.288030600	945.500	2140.800	BLESTCANTARO_20230101_020000.wav	21.3623	0.9714	Hylorina sylvatica	60	22.3337
23	Spectrogram 1	1	145.299490900	146.340318200	999.000	2497.600	BLESTCANTARO_20230101_020000.wav	25.3452	1.0408	Hylorina sylvatica	60	26.386
24	Spectrogram 1	1	146.941954200	148.524011700	856.300	2140.800	BLESTCANTARO_20230101_020000.wav	26.9877	1.5821	Hylorina sylvatica	60	28.5698
25	Spectrogram 1	1	149.273407300	150.536277800	1034.700	2265.700	BLESTCANTARO_20230101_020000.wav	29.3191	1.2629	Hylorina sylvatica	60	30.582
26	Spectrogram 1	1	153.284061900	154.810608600	1088.200	2140.800	BLESTCANTARO_20230101_020000.wav	33.3298	1.5265	Hylorina sylvatica	60	34.8563
27	Spectrogram 1	1	155.129795600	156.267766800	1141.700	2069.400	BLESTCANTARO_20230101_020000.wav	35.1755	1.1380	Hylorina sylvatica	60	36.3135
28	Spectrogram 1	1	156.545320700	159.598414100	802.800	1819.700	BLESTCANTARO_20230101_020000.wav	36.5910	3.0531	Hylorina sylvatica	60	39.6441
29	Spectrogram 1	1	160.181276600	168.951981300	660.100	2354.900	BLESTCANTARO_20230101_020000.wav	40.2270	8.7707	Hylorina sylvatica	60	48.9977
30	Spectrogram 1	1	169.090758300	179.360254300	820.600	2426.200	BLESTCANTARO_20230101_020000.wav	49.1365	10.2695	Hylorina sylvatica	60	59.406
31	Spectrogram 1	1	180.068017400	184.952966800	642.200	1962.400	BLESTCANTARO_20230101_030000.wav	0.1366	4.8849	Hylorina sylvatica	60	5.0215
32	Spectrogram 1	1	185.508074700	186.826455900	677.900	2319.200	BLESTCANTARO_20230101_030000.wav	5.5766	1.3184	Hylorina sylvatica	60	6.895
33	Spectrogram 1	1	187.686873200	189.046887500	731.400	2426.200	BLESTCANTARO_20230101_030000.wav	7.7554	1.3600	Hylorina sylvatica	60	9.1154
34	Spectrogram 1	1	189.227298200	197.040441800	713.600	2212.100	BLESTCANTARO_20230101_030000.wav	9.2959	7.8131	Hylorina sylvatica	60	17.109
35	Spectrogram 1	1	199.413528700	207.282183000	749.300	2069.400	BLESTCANTARO_20230101_030000.wav	19.4821	7.8687	Hylorina sylvatica	60	27.3508
36	Spectrogram 1	1	208.350766300	213.832456700	695.800	2212.100	BLESTCANTARO_20230101_030000.wav	28.4193	5.4817	Hylorina sylvatica	60	33.901
37	Spectrogram 1	1	215.830845100	217.065960200	874.200	2122.900	BLESTCANTARO_20230101_030000.wav	35.8994	1.2351	Hylorina sylvatica	60	37.1345
38	Spectrogram 1	1	218.273320300	221.395802200	695.800	2354.900	BLESTCANTARO_20230101_030000.wav	38.3419	3.1225	Hylorina sylvatica	60	41.4644
39	Spectrogram 1	1	222.270097600	227.002392400	570.900	2015.900	BLESTCANTARO_20230101_030000.wav	42.3387	4.7323	Hylorina sylvatica	60	47.071
40	Spectrogram 1	1	227.793421100	229.278334700	642.200	2747.300	BLESTCANTARO_20230101_030000.wav	47.8620	1.4849	Hylorina sylvatica	60	49.3469
41	Spectrogram 1	1	229.944464200	231.471010900	642.200	2354.900	BLESTCANTARO_20230101_030000.wav	50.0130	1.5265	Hylorina sylvatica	60	51.5395
42	Spectrogram 1	1	231.984485700	233.108579200	820.600	2158.600	BLESTCANTARO_20230101_030000.wav	52.0531	1.1241	Hylorina sylvatica	60	53.1772
43	Spectrogram 1	1	233.566543200	235.009823700	553.000	2426.200	BLESTCANTARO_20230101_030000.wav	53.6351	1.4433	Hylorina sylvatica	60	55.0784
44	Spectrogram 1	1	236.342083300	237.424543700	713.600	2818.700	BLESTCANTARO_20230101_030000.wav	56.4107	1.0825	Hylorina sylvatica	60	57.4932
45	Spectrogram 1	1	239.922529200	244.432780800	196.200	3104.100	BLESTCANTARO_20230101_040000.wav	0.0140	4.5103	Hylorina sylvatica	60	4.5243
46	Spectrogram 1	1	244.821356300	248.429557600	303.300	3496.600	BLESTCANTARO_20230101_040000.wav	4.9128	3.6082	Hylorina sylvatica	60	8.521
47	Spectrogram 1	1	248.845888400	257.963535500	446.000	3460.900	BLESTCANTARO_20230101_040000.wav	8.9373	9.1176	Hylorina sylvatica	60	18.0549
48	Spectrogram 1	1	258.157818500	268.191393600	303.300	3496.600	BLESTCANTARO_20230101_040000.wav	18.2493	10.0336	Hylorina sylvatica	60	28.2829
49	Spectrogram 1	1	268.649355400	273.006952300	303.300	3496.600	BLESTCANTARO_20230101_040000.wav	28.7408	4.3576	Hylorina sylvatica	60	33.0984
50	Spectrogram 1	1	274.144923500	276.462498900	535.200	3639.300	BLESTCANTARO_20230101_040000.wav	34.2363	2.3176	Hylorina sylvatica	60	36.5539
51	Spectrogram 1	1	277.073115200	291.505920300	517.400	3568.000	BLESTCANTARO_20230101_040000.wav	37.1645	14.4328	Hylorina sylvatica	60	51.5973
52	Spectrogram 1	1	291.755718000	299.832537800	142.700	3692.800	BLESTCANTARO_20230101_040000.wav	51.8471	8.0768	Hylorina sylvatica	60	59.9239
53	Spectrogram 1	1	300.609688500	301.581127300	892.000	2426.200	BLESTCANTARO_20230101_050000.wav	0.7240	0.9714	Hylorina sylvatica	60	1.6954
54	Spectrogram 1	1	303.385227900	304.426055200	1195.300	2283.500	BLESTCANTARO_20230101_050000.wav	3.4995	1.0408	Hylorina sylvatica	60	4.5403
55	Spectrogram 1	1	307.534659400	308.533853600	981.200	2461.900	BLESTCANTARO_20230101_050000.wav	7.6489	0.9992	Hylorina sylvatica	60	8.6481
56	Spectrogram 1	1	308.991816500	312.433485400	713.600	2319.200	BLESTCANTARO_20230101_050000.wav	9.1061	3.4417	Hylorina sylvatica	60	12.5478
57	Spectrogram 1	1	313.293902600	314.223708400	999.000	2283.500	BLESTCANTARO_20230101_050000.wav	13.4082	0.9298	Hylorina sylvatica	60	14.338
58	Spectrogram 1	1	315.555967300	316.624550000	963.300	1926.700	BLESTCANTARO_20230101_050000.wav	15.6702	1.0686	Hylorina sylvatica	60	16.7388
59	Spectrogram 1	1	318.484161400	319.358456300	785.000	1962.400	BLESTCANTARO_20230101_050000.wav	18.5985	0.8743	Hylorina sylvatica	60	19.4728
60	Spectrogram 1	1	321.065413900	323.424622400	838.500	1998.100	BLESTCANTARO_20230101_050000.wav	21.1797	2.3592	Hylorina sylvatica	60	23.5389
61	Spectrogram 1	1	323.660543300	325.423010800	713.600	2158.600	BLESTCANTARO_20230101_050000.wav	23.7748	1.7625	Hylorina sylvatica	60	25.5373
62	Spectrogram 1	1	325.811586300	326.921802100	677.900	2301.300	BLESTCANTARO_20230101_050000.wav	25.9259	1.1102	Hylorina sylvatica	60	27.0361
63	Spectrogram 1	1	327.352010700	329.933262400	731.400	2283.500	BLESTCANTARO_20230101_050000.wav	27.4663	2.5813	Hylorina sylvatica	60	30.0476
64	Spectrogram 1	1	331.987162400	334.721068800	642.200	2319.200	BLESTCANTARO_20230101_050000.wav	32.1015	2.7339	Hylorina sylvatica	60	34.8354
65	Spectrogram 1	1	335.470464400	339.994593700	624.400	2533.300	BLESTCANTARO_20230101_050000.wav	35.5847	4.5241	Hylorina sylvatica	60	40.1088
66	Spectrogram 1	1	340.369291600	341.868082900	677.900	2426.200	BLESTCANTARO_20230101_050000.wav	40.4836	1.4988	Hylorina sylvatica	60	41.9824
67	Spectrogram 1	1	342.770133200	344.685255400	802.800	2283.500	BLESTCANTARO_20230101_050000.wav	42.8844	1.9151	Hylorina sylvatica	60	44.7995
68	Spectrogram 1	1	345.295875000	346.753033200	874.200	2140.800	BLESTCANTARO_20230101_050000.wav	45.4102	1.4572	Hylorina sylvatica	60	46.8674
69	Spectrogram 1	1	347.960392900	353.247795500	481.700	2283.500	BLESTCANTARO_20230101_050000.wav	48.0747	5.2874	Hylorina sylvatica	60	53.3621
70	Spectrogram 1	1	353.650248800	357.105795400	660.100	2158.600	BLESTCANTARO_20230101_050000.wav	53.7645	3.4555	Hylorina sylvatica	60	57.22
71	Spectrogram 1	1	358.313155900	359.478882500	749.300	2140.800	BLESTCANTARO_20230101_050000.wav	58.4274	1.1657	Hylorina sylvatica	60	59.5931
73	Spectrogram 1	1	366.766229100	367.751545600	892.000	1801.800	BLESTCANTARO_20230101_060000.wav	6.9034	0.9853	Hylorina sylvatica	60	7.8887
74	Spectrogram 1	1	539.864742500	540.988835900	624.400	2194.300	BLESTCANTARO_20230101_220000.wav	0.0705	1.1241	Hylorina sylvatica	60	1.1946
75	Spectrogram 1	1	541.446800000	546.734202600	463.800	2087.300	BLESTCANTARO_20230101_220000.wav	1.6525	5.2874	Hylorina sylvatica	60	6.9399
76	Spectrogram 1	1	546.983998500	554.089379500	749.300	1962.400	BLESTCANTARO_20230101_220000.wav	7.1897	7.1054	Hylorina sylvatica	60	14.2951
77	Spectrogram 1	1	555.074696000	558.016767800	713.600	2176.500	BLESTCANTARO_20230101_220000.wav	15.2804	2.9421	Hylorina sylvatica	60	18.2225
78	Spectrogram 1	1	561.819253500	565.080512300	303.300	2586.800	BLESTCANTARO_20230101_220000.wav	22.0250	3.2613	Hylorina sylvatica	60	25.2863
79	Spectrogram 1	1	565.788274900	568.841368300	517.400	2515.400	BLESTCANTARO_20230101_220000.wav	25.9940	3.0531	Hylorina sylvatica	60	29.0471
80	Spectrogram 1	1	570.118115700	577.167986000	285.400	2337.000	BLESTCANTARO_20230101_220000.wav	30.3238	7.0499	Hylorina sylvatica	60	37.3737
81	Spectrogram 1	1	577.861870500	584.870107700	71.400	2800.800	BLESTCANTARO_20230101_220000.wav	38.0676	7.0082	Hylorina sylvatica	60	45.0758
82	Spectrogram 1	1	585.522359400	590.254654200	517.400	2354.900	BLESTCANTARO_20230101_220000.wav	45.7281	4.7323	Hylorina sylvatica	60	50.4604
83	Spectrogram 1	1	590.573841000	594.126531500	321.100	2247.800	BLESTCANTARO_20230101_220000.wav	50.7795	3.5527	Hylorina sylvatica	60	54.3322
84	Spectrogram 1	1	595.153481100	596.680027800	374.600	2461.900	BLESTCANTARO_20230101_220000.wav	55.3592	1.5265	Hylorina sylvatica	60	56.8857
85	Spectrogram 1	1	598.067797600	599.164135700	446.000	2087.300	BLESTCANTARO_20230101_220000.wav	58.2735	1.0963	Hylorina sylvatica	60	59.3698
86	Spectrogram 1	1	443.136889976	443.136889976	4384.211	4384.211	BLESTCANTARO_20230101_070000.wav	23.2969	0.0000	NA	60	
