filename,sample_index,start_time,end_time,Hylorina sylvatica_confidence,Hylorina sylvatica_annotation
BLESTCANTARO_20230101_060000,6,18,21,0.0,0
BLESTCANTARO_20230101_060000,7,21,24,0.0,0
BLESTCANTARO_20230101_060000,8,24,27,0.0,0
BLESTCANTARO_20230101_060000,9,27,30,0.0,0
BLESTCANTARO_20230101_060000,10,30,33,0.0,0
BLESTCANTARO_20230101_060000,11,33,36,0.0,0
BLESTCANTARO_20230101_060000,12,36,39,0.0,0
BLESTCANTARO_20230101_060000,13,39,42,0.0,0
BLESTCANTARO_20230101_060000,14,42,45,0.0,0
BLESTCANTARO_20230101_060000,15,45,48,0.0,0
BLESTCANTARO_20230101_060000,16,48,51,0.0,0
BLESTCANTARO_20230101_060000,17,51,54,0.0,0
BLESTCANTARO_20230101_060000,18,54,57,0.0,0
BLESTCANTARO_20230101_060000,19,57,60,0.0,0
BLESTCANTARO_20230101_050000,0,0,3,0.9698,1
BLESTCANTARO_20230101_050000,1,3,6,0.0,1
BLESTCANTARO_20230101_050000,2,6,9,0.9926,1
BLESTCANTARO_20230101_050000,3,9,12,0.9993,1
BLESTCANTARO_20230101_050000,4,12,15,0.6131,1
BLESTCANTARO_20230101_050000,5,15,18,0.0,1
BLESTCANTARO_20230101_050000,6,18,21,0.4656,1
BLESTCANTARO_20230101_050000,7,21,24,0.8573,1
BLESTCANTARO_20230101_050000,8,24,27,0.9967,1
BLESTCANTARO_20230101_050000,9,27,30,0.999,1
BLESTCANTARO_20230101_050000,10,30,33,0.9455,1
BLESTCANTARO_20230101_050000,11,33,36,0.9094,1
BLESTCANTARO_20230101_050000,12,36,39,0.9654,1
BLESTCANTARO_20230101_050000,13,39,42,0.8818,1
BLESTCANTARO_20230101_050000,14,42,45,0.9975,1
BLESTCANTARO_20230101_050000,15,45,48,0.9959,1
BLESTCANTARO_20230101_050000,16,48,51,0.9967,1
BLESTCANTARO_20230101_050000,17,51,54,0.9994,1
BLESTCANTARO_20230101_050000,18,54,57,0.9977,1
BLESTCANTARO_20230101_050000,19,57,60,0.9361,1
BLESTCANTARO_20230101_090000,0,0,3,0.0,0
BLESTCANTARO_20230101_090000,1,3,6,0.0,0
BLESTCANTARO_20230101_090000,2,6,9,0.0,0
BLESTCANTARO_20230101_090000,3,9,12,0.0,0
BLESTCANTARO_20230101_090000,4,12,15,0.0,0
BLESTCANTARO_20230101_090000,5,15,18,0.0,0
BLESTCANTARO_20230101_090000,6,18,21,0.0,0
BLESTCANTARO_20230101_090000,7,21,24,0.0,0
BLESTCANTARO_20230101_090000,8,24,27,0.0,0
BLESTCANTARO_20230101_090000,9,27,30,0.0,0
BLESTCANTARO_20230101_090000,10,30,33,0.0,0
BLESTCANTARO_20230101_090000,11,33,36,0.3538,0
BLESTCANTARO_20230101_090000,12,36,39,0.0,0
BLESTCANTARO_20230101_090000,13,39,42,0.0,0
BLESTCANTARO_20230101_090000,14,42,45,0.0,0
BLESTCANTARO_20230101_090000,15,45,48,0.0,0
BLESTCANTARO_20230101_090000,16,48,51,0.0,0
BLESTCANTARO_20230101_090000,17,51,54,0.0,0
BLESTCANTARO_20230101_090000,18,54,57,0.0,0
BLESTCANTARO_20230101_090000,19,57,60,0.0,0
BLESTCANTARO_20230101_000000,0,0,3,0.9395,1
BLESTCANTARO_20230101_000000,1,3,6,0.9991,1
BLESTCANTARO_20230101_000000,2,6,9,0.9999,1
BLESTCANTARO_20230101_000000,3,9,12,0.9987,1
BLESTCANTARO_20230101_000000,4,12,15,0.9997,1
BLESTCANTARO_20230101_000000,5,15,18,0.9976,1
BLESTCANTARO_20230101_000000,6,18,21,0.9983,1
BLESTCANTARO_20230101_000000,7,21,24,0.9988,1
BLESTCANTARO_20230101_000000,8,24,27,0.9311,1
BLESTCANTARO_20230101_000000,9,27,30,0.9924,1
BLESTCANTARO_20230101_000000,10,30,33,0.9977,1
BLESTCANTARO_20230101_000000,11,33,36,0.9955,1
BLESTCANTARO_20230101_000000,12,36,39,0.9983,1
BLESTCANTARO_20230101_000000,13,39,42,0.9987,1
BLESTCANTARO_20230101_000000,14,42,45,0.9934,1
BLESTCANTARO_20230101_000000,15,45,48,0.9995,1
BLESTCANTARO_20230101_000000,16,48,51,0.9993,1
BLESTCANTARO_20230101_000000,17,51,54,0.9978,1
BLESTCANTARO_20230101_000000,18,54,57,0.9997,1
BLESTCANTARO_20230101_000000,19,57,60,0.9996,1
BLESTCANTARO_20230101_010000,0,0,3,0.9904,1
BLESTCANTARO_20230101_010000,1,3,6,0.9922,1
BLESTCANTARO_20230101_010000,2,6,9,0.995,1
BLESTCANTARO_20230101_010000,3,9,12,0.989,1
BLESTCANTARO_20230101_010000,4,12,15,0.9987,1
BLESTCANTARO_20230101_010000,5,15,18,0.9989,1
BLESTCANTARO_20230101_010000,6,18,21,0.9818,1
BLESTCANTARO_20230101_010000,7,21,24,0.9993,1
BLESTCANTARO_20230101_010000,8,24,27,0.9892,1
BLESTCANTARO_20230101_010000,9,27,30,0.9995,1
BLESTCANTARO_20230101_010000,10,30,33,0.996,1
BLESTCANTARO_20230101_010000,11,33,36,0.989,1
BLESTCANTARO_20230101_010000,12,36,39,0.9874,1
BLESTCANTARO_20230101_010000,13,39,42,0.9987,1
BLESTCANTARO_20230101_010000,14,42,45,0.9993,1
BLESTCANTARO_20230101_010000,15,45,48,0.9992,1
BLESTCANTARO_20230101_010000,16,48,51,0.9998,1
BLESTCANTARO_20230101_010000,17,51,54,0.9995,1
BLESTCANTARO_20230101_010000,18,54,57,0.9995,1
BLESTCANTARO_20230101_010000,19,57,60,0.9986,1
BLESTCANTARO_20230101_070000,0,0,3,0.0,0
BLESTCANTARO_20230101_070000,1,3,6,0.0,0
BLESTCANTARO_20230101_070000,2,6,9,0.0,0
BLESTCANTARO_20230101_070000,3,9,12,0.0,0
BLESTCANTARO_20230101_070000,4,12,15,0.0,0
BLESTCANTARO_20230101_070000,5,15,18,0.0,0
BLESTCANTARO_20230101_070000,6,18,21,0.0,0
BLESTCANTARO_20230101_070000,7,21,24,0.0,0
BLESTCANTARO_20230101_070000,8,24,27,0.0,0
BLESTCANTARO_20230101_070000,9,27,30,0.0,0
BLESTCANTARO_20230101_070000,10,30,33,0.0,0
BLESTCANTARO_20230101_070000,11,33,36,0.0,0
BLESTCANTARO_20230101_070000,12,36,39,0.0,0
BLESTCANTARO_20230101_070000,13,39,42,0.0,0
BLESTCANTARO_20230101_070000,14,42,45,0.0,0
BLESTCANTARO_20230101_070000,15,45,48,0.0,0
BLESTCANTARO_20230101_070000,16,48,51,0.0,0
BLESTCANTARO_20230101_070000,17,51,54,0.0,0
BLESTCANTARO_20230101_070000,18,54,57,0.0,0
BLESTCANTARO_20230101_070000,19,57,60,0.0,0
BLESTCANTARO_20230101_020000,0,0,3,0.9278,1
BLESTCANTARO_20230101_020000,1,3,6,0.3482,0
BLESTCANTARO_20230101_020000,2,6,9,0.9948,1
BLESTCANTARO_20230101_020000,3,9,12,0.9125,1
BLESTCANTARO_20230101_020000,4,12,15,0.531,0
BLESTCANTARO_20230101_020000,5,15,18,0.98,1
BLESTCANTARO_20230101_020000,6,18,21,0.9946,1
BLESTCANTARO_20230101_020000,7,21,24,0.9023,1
BLESTCANTARO_20230101_020000,8,24,27,0.9876,1
BLESTCANTARO_20230101_020000,9,27,30,0.9877,1
BLESTCANTARO_20230101_020000,10,30,33,0.701,1
BLESTCANTARO_20230101_020000,11,33,36,0.9581,1
BLESTCANTARO_20230101_020000,12,36,39,0.9756,1
BLESTCANTARO_20230101_020000,13,39,42,0.999,1
BLESTCANTARO_20230101_020000,14,42,45,0.9993,1
BLESTCANTARO_20230101_020000,15,45,48,0.9904,1
BLESTCANTARO_20230101_020000,16,48,51,0.9925,1
BLESTCANTARO_20230101_020000,17,51,54,0.9856,1
BLESTCANTARO_20230101_020000,18,54,57,0.9989,1
BLESTCANTARO_20230101_020000,19,57,60,0.9968,1
BLESTCANTARO_20230101_030000,0,0,3,0.9968,1
BLESTCANTARO_20230101_030000,1,3,6,0.9985,1
BLESTCANTARO_20230101_030000,2,6,9,0.9997,1
BLESTCANTARO_20230101_030000,3,9,12,0.9875,1
BLESTCANTARO_20230101_030000,4,12,15,0.9798,1
BLESTCANTARO_20230101_030000,5,15,18,0.9972,1
BLESTCANTARO_20230101_030000,6,18,21,0.9624,1
BLESTCANTARO_20230101_030000,7,21,24,0.9745,1
BLESTCANTARO_20230101_030000,8,24,27,0.9994,1
BLESTCANTARO_20230101_030000,9,27,30,0.9893,1
BLESTCANTARO_20230101_030000,10,30,33,0.9974,1
BLESTCANTARO_20230101_030000,11,33,36,0.9998,1
BLESTCANTARO_20230101_030000,12,36,39,0.9666,1
BLESTCANTARO_20230101_030000,13,39,42,0.9994,1
BLESTCANTARO_20230101_030000,14,42,45,0.9988,1
BLESTCANTARO_20230101_030000,15,45,48,0.9989,1
BLESTCANTARO_20230101_030000,16,48,51,0.9986,1
BLESTCANTARO_20230101_030000,17,51,54,0.9985,1
BLESTCANTARO_20230101_030000,18,54,57,0.9987,1
BLESTCANTARO_20230101_030000,19,57,60,0.9897,1
