Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Begin File	Delta Time (s)	Species Code	Common Name	Duration
23	Spectrogram 1	1	477.000000000	480.000000000	57.0000	HUILO01_20240126_100000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
24	Spectrogram 1	1	489.000000000	492.000000000	9.0000	HUILO01_20240126_110000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
25	Spectrogram 1	1	492.000000000	495.000000000	12.0000	HUILO01_20240126_110000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
26	Spectrogram 1	1	495.000000000	498.000000000	15.0000	HUILO01_20240126_110000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
27	Spectrogram 1	1	516.603356600	519.603356600	36.6034	HUILO01_20240126_110000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
28	Spectrogram 1	1	531.000000000	534.000000000	51.0000	HUILO01_20240126_110000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
29	Spectrogram 1	1	564.000000000	567.000000000	24.0000	HUILO01_20240126_120000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
30	Spectrogram 1	1	567.000000000	570.000000000	27.0000	HUILO01_20240126_120000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
31	Spectrogram 1	1	582.000000000	585.000000000	42.0000	HUILO01_20240126_120000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
32	Spectrogram 1	1	597.000000000	600.000000000	57.0000	HUILO01_20240126_120000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
33	Spectrogram 1	1	4.690880204	7.470661065	4.6909	HUILO01_20240126_030000.wav	2.7798	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
34	Spectrogram 1	1	11.205991600	13.290827240	11.2060	HUILO01_20240126_030000.wav	2.0848	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
35	Spectrogram 1	1	302.540054500	304.386002700	2.5401	HUILO01_20240126_080000.wav	1.8459	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
36	Spectrogram 1	1	312.855647500	314.831898000	12.8556	HUILO01_20240126_080000.wav	1.9763	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
37	Spectrogram 1	1	321.455589600	323.714161500	21.4556	HUILO01_20240126_080000.wav	2.2586	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
38	Spectrogram 1	1	332.010070000	333.986320500	32.0101	HUILO01_20240126_080000.wav	1.9763	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
39	Spectrogram 1	1	352.272066500	354.660940700	52.2721	HUILO01_20240126_080000.wav	2.3889	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
40	Spectrogram 1	1	354.574072500	356.224567400	54.5741	HUILO01_20240126_080000.wav	1.6505	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
41	Spectrogram 1	1	382.654198800	384.652166300	22.6542	HUILO01_20240126_090000.wav	1.9980	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
42	Spectrogram 1	1	399.050562500	400.527321100	39.0506	HUILO01_20240126_090000.wav	1.4768	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
43	Spectrogram 1	1	421.549411800	423.829700800	1.5494	HUILO01_20240126_100000.wav	2.2803	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
44	Spectrogram 1	1	456.036064300	458.359787300	36.0361	HUILO01_20240126_100000.wav	2.3237	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
45	Spectrogram 1	1	493.454518500	495.430768900	13.4545	HUILO01_20240126_110000.wav	1.9763	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
