filename,sample_index,start_time,end_time,ranitadeDarwin_confidence,ranitadeDarwin_annotation
HUILO01_20240126_110000,1,3,6,0.0,0
HUILO01_20240126_110000,2,6,9,0.13,0
HUILO01_20240126_110000,3,9,12,0.2809,1
HUILO01_20240126_110000,4,12,15,0.9466,1
HUILO01_20240126_110000,5,15,18,0.3398,1
HUILO01_20240126_110000,6,18,21,0.1547,0
HUILO01_20240126_110000,7,21,24,0.0,0
HUILO01_20240126_110000,8,24,27,0.1981,0
HUILO01_20240126_110000,9,27,30,0.0,0
HUILO01_20240126_110000,10,30,33,0.0,0
HUILO01_20240126_110000,11,33,36,0.1407,0
HUILO01_20240126_110000,12,36,39,0.5577,1
HUILO01_20240126_110000,13,39,42,0.1486,1
HUILO01_20240126_110000,14,42,45,0.0,0
HUILO01_20240126_110000,15,45,48,0.1451,0
HUILO01_20240126_110000,16,48,51,0.0,0
HUILO01_20240126_110000,17,51,54,0.969,1
HUILO01_20240126_110000,18,54,57,0.0,0
HUILO01_20240126_110000,19,57,60,0.0,0
HUILO01_20240126_100000,0,0,3,0.146,1
HUILO01_20240126_100000,1,3,6,0.0,1
HUILO01_20240126_100000,2,6,9,0.0,0
HUILO01_20240126_100000,3,9,12,0.6178,0
HUILO01_20240126_100000,4,12,15,0.0,0
HUILO01_20240126_100000,5,15,18,0.3011,0
HUILO01_20240126_100000,6,18,21,0.8227,1
HUILO01_20240126_100000,7,21,24,0.9653,1
HUILO01_20240126_100000,8,24,27,0.2787,1
HUILO01_20240126_100000,9,27,30,0.0,0
HUILO01_20240126_100000,10,30,33,0.1903,0
HUILO01_20240126_100000,11,33,36,0.8134,1
HUILO01_20240126_100000,12,36,39,0.1946,1
HUILO01_20240126_100000,13,39,42,0.1317,0
HUILO01_20240126_100000,14,42,45,0.0,0
HUILO01_20240126_100000,15,45,48,0.0,0
HUILO01_20240126_100000,16,48,51,0.0,0
HUILO01_20240126_100000,17,51,54,0.0,0
HUILO01_20240126_100000,18,54,57,0.0,0
HUILO01_20240126_100000,19,57,60,0.748,1
HUILO01_20240126_030000,0,0,3,0.0,0
HUILO01_20240126_030000,1,3,6,0.2455,1
HUILO01_20240126_030000,2,6,9,0.1387,1
HUILO01_20240126_030000,3,9,12,0.0,1
HUILO01_20240126_030000,4,12,15,0.1069,1
HUILO01_20240126_030000,5,15,18,0.1314,0
HUILO01_20240126_030000,6,18,21,0.0,0
HUILO01_20240126_030000,7,21,24,0.0,0
HUILO01_20240126_030000,8,24,27,0.0,0
HUILO01_20240126_030000,9,27,30,0.0,0
HUILO01_20240126_030000,10,30,33,0.0,0
HUILO01_20240126_030000,11,33,36,0.0,0
HUILO01_20240126_030000,12,36,39,0.1287,0
HUILO01_20240126_030000,13,39,42,0.0,0
HUILO01_20240126_030000,14,42,45,0.0,0
HUILO01_20240126_030000,15,45,48,0.0,0
HUILO01_20240126_030000,16,48,51,0.0,0
HUILO01_20240126_030000,17,51,54,0.0,0
HUILO01_20240126_030000,18,54,57,0.9872,1
HUILO01_20240126_030000,19,57,60,0.0,0
HUILO01_20240126_090000,0,0,3,0.0,0
HUILO01_20240126_090000,1,3,6,0.1212,0
HUILO01_20240126_090000,2,6,9,0.0,0
HUILO01_20240126_090000,3,9,12,0.0,0
HUILO01_20240126_090000,4,12,15,0.0,0
HUILO01_20240126_090000,5,15,18,0.5977,1
HUILO01_20240126_090000,6,18,21,0.3855,1
HUILO01_20240126_090000,7,21,24,0.1803,1
HUILO01_20240126_090000,8,24,27,0.181,1
HUILO01_20240126_090000,9,27,30,0.2438,1
HUILO01_20240126_090000,10,30,33,0.3281,1
HUILO01_20240126_090000,11,33,36,0.0,0
HUILO01_20240126_090000,12,36,39,0.0,0
HUILO01_20240126_090000,13,39,42,0.1983,1
HUILO01_20240126_090000,14,42,45,0.0,0
HUILO01_20240126_090000,15,45,48,0.4448,0
HUILO01_20240126_090000,16,48,51,0.0,0
HUILO01_20240126_090000,17,51,54,0.1847,0
HUILO01_20240126_090000,18,54,57,0.0,0
HUILO01_20240126_090000,19,57,60,0.4715,1
HUILO01_20240126_120000,0,0,3,0.0,0
HUILO01_20240126_120000,1,3,6,0.0,0
HUILO01_20240126_120000,2,6,9,0.0,0
HUILO01_20240126_120000,3,9,12,0.0,0
HUILO01_20240126_120000,4,12,15,0.0,0
HUILO01_20240126_120000,5,15,18,0.0,0
HUILO01_20240126_120000,6,18,21,0.0,0
HUILO01_20240126_120000,7,21,24,0.108,0
HUILO01_20240126_120000,8,24,27,0.6916,1
HUILO01_20240126_120000,9,27,30,0.9801,1
HUILO01_20240126_120000,10,30,33,0.0,0
HUILO01_20240126_120000,11,33,36,0.221,0
HUILO01_20240126_120000,12,36,39,0.1485,0
HUILO01_20240126_120000,13,39,42,0.0,0
HUILO01_20240126_120000,14,42,45,0.4659,1
HUILO01_20240126_120000,15,45,48,0.1922,0
HUILO01_20240126_120000,16,48,51,0.0,0
HUILO01_20240126_120000,17,51,54,0.0,0
HUILO01_20240126_120000,18,54,57,0.0,0
HUILO01_20240126_120000,19,57,60,0.3065,1
