filename,sample_index,start_time,end_time,Batrachyla leptopus_confidence,Batrachyla leptopus_annotation
TURBERABLEST_20230105_150000,19,57,60,0.0,0
TURBERABLEST_20230104_160000,0,0,3,0.0,0
TURBERABLEST_20230104_160000,1,3,6,0.4253,1
TURBERABLEST_20230104_160000,2,6,9,0.9849,1
TURBERABLEST_20230104_160000,3,9,12,0.0,1
TURBERABLEST_20230104_160000,4,12,15,0.9958,1
TURBERABLEST_20230104_160000,5,15,18,0.9828,1
TURBERABLEST_20230104_160000,6,18,21,0.9759,1
TURBERABLEST_20230104_160000,7,21,24,0.992,1
TURBERABLEST_20230104_160000,8,24,27,0.6729,1
TURBERABLEST_20230104_160000,9,27,30,0.9751,1
TURBERABLEST_20230104_160000,10,30,33,0.964,1
TURBERABLEST_20230104_160000,11,33,36,0.9865,1
TURBERABLEST_20230104_160000,12,36,39,0.0,0
TURBERABLEST_20230104_160000,13,39,42,0.9085,1
TURBERABLEST_20230104_160000,14,42,45,0.2767,1
TURBERABLEST_20230104_160000,15,45,48,0.0,0
TURBERABLEST_20230104_160000,16,48,51,0.0,1
TURBERABLEST_20230104_160000,17,51,54,0.9801,1
TURBERABLEST_20230104_160000,18,54,57,0.9753,1
TURBERABLEST_20230104_160000,19,57,60,0.0,0
TURBERABLEST_20230103_130000,0,0,3,0.9241,1
TURBERABLEST_20230103_130000,1,3,6,0.9763,1
TURBERABLEST_20230103_130000,2,6,9,0.902,1
TURBERABLEST_20230103_130000,3,9,12,0.9937,1
TURBERABLEST_20230103_130000,4,12,15,0.0,0
TURBERABLEST_20230103_130000,5,15,18,0.0,0
TURBERABLEST_20230103_130000,6,18,21,0.4565,0
TURBERABLEST_20230103_130000,7,21,24,0.9634,1
TURBERABLEST_20230103_130000,8,24,27,0.9978,1
TURBERABLEST_20230103_130000,9,27,30,0.0,0
TURBERABLEST_20230103_130000,10,30,33,0.4896,1
TURBERABLEST_20230103_130000,11,33,36,0.9691,1
TURBERABLEST_20230103_130000,12,36,39,0.9713,1
TURBERABLEST_20230103_130000,13,39,42,0.6781,0
TURBERABLEST_20230103_130000,14,42,45,0.8551,1
TURBERABLEST_20230103_130000,15,45,48,0.9917,1
TURBERABLEST_20230103_130000,16,48,51,0.9223,1
TURBERABLEST_20230103_130000,17,51,54,0.0,1
TURBERABLEST_20230103_130000,18,54,57,0.9915,1
TURBERABLEST_20230103_130000,19,57,60,0.6815,1
TURBERABLEST_20230104_170000,0,0,3,0.8169,1
TURBERABLEST_20230104_170000,1,3,6,0.5737,1
TURBERABLEST_20230104_170000,2,6,9,0.9475,1
TURBERABLEST_20230104_170000,3,9,12,0.9824,1
TURBERABLEST_20230104_170000,4,12,15,0.0,1
TURBERABLEST_20230104_170000,5,15,18,0.8437,1
TURBERABLEST_20230104_170000,6,18,21,0.6259,1
TURBERABLEST_20230104_170000,7,21,24,0.0,0
TURBERABLEST_20230104_170000,8,24,27,0.6635,1
TURBERABLEST_20230104_170000,9,27,30,0.5152,1
TURBERABLEST_20230104_170000,10,30,33,0.8714,1
TURBERABLEST_20230104_170000,11,33,36,0.819,1
TURBERABLEST_20230104_170000,12,36,39,0.9172,1
TURBERABLEST_20230104_170000,13,39,42,0.9641,1
TURBERABLEST_20230104_170000,14,42,45,0.0,1
TURBERABLEST_20230104_170000,15,45,48,0.6787,1
TURBERABLEST_20230104_170000,16,48,51,0.5586,1
TURBERABLEST_20230104_170000,17,51,54,0.258,0
TURBERABLEST_20230104_170000,18,54,57,0.0,0
TURBERABLEST_20230104_170000,19,57,60,0.0,0
TURBERABLEST_20230102_210000,0,0,3,0.0,0
TURBERABLEST_20230102_210000,1,3,6,0.9921,1
TURBERABLEST_20230102_210000,2,6,9,0.9981,1
TURBERABLEST_20230102_210000,3,9,12,0.9999,1
TURBERABLEST_20230102_210000,4,12,15,0.9998,1
TURBERABLEST_20230102_210000,5,15,18,1.0,1
TURBERABLEST_20230102_210000,6,18,21,0.9998,1
TURBERABLEST_20230102_210000,7,21,24,0.994,1
TURBERABLEST_20230102_210000,8,24,27,0.0,1
TURBERABLEST_20230102_210000,9,27,30,0.9795,1
TURBERABLEST_20230102_210000,10,30,33,0.9933,1
TURBERABLEST_20230102_210000,11,33,36,0.9509,1
TURBERABLEST_20230102_210000,12,36,39,0.0,0
TURBERABLEST_20230102_210000,13,39,42,0.3514,0
TURBERABLEST_20230102_210000,14,42,45,0.0,0
TURBERABLEST_20230102_210000,15,45,48,0.0,0
TURBERABLEST_20230102_210000,16,48,51,0.0,0
TURBERABLEST_20230102_210000,17,51,54,0.0,0
TURBERABLEST_20230102_210000,18,54,57,0.0,1
TURBERABLEST_20230102_210000,19,57,60,0.2568,1
