Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
38	Spectrogram 1	1	306.065340400	308.271894300	808.700	3396.500	TURBERABLEST_20230104_170000.wav	6.1796	2.2066	Batrachyla leptopus	60	8.3862
39	Spectrogram 1	1	309.090678400	311.547030800	679.300	3234.800	TURBERABLEST_20230104_170000.wav	9.2050	2.4564	Batrachyla leptopus	60	11.6614
40	Spectrogram 1	1	314.669512300	315.182987100	1067.500	3558.300	TURBERABLEST_20230104_170000.wav	14.7838	0.5135	Batrachyla leptopus	60	15.2973
41	Spectrogram 1	1	315.793605800	318.347102100	1035.100	3267.100	TURBERABLEST_20230104_170000.wav	15.9079	2.5535	Batrachyla leptopus	60	18.4614
42	Spectrogram 1	1	324.134101800	324.675332000	1002.800	2846.600	TURBERABLEST_20230104_170000.wav	24.2484	0.5412	Batrachyla leptopus	60	24.7896
43	Spectrogram 1	1	325.466360800	326.049224700	1002.800	3137.700	TURBERABLEST_20230104_170000.wav	25.5807	0.5829	Batrachyla leptopus	60	26.1636
44	Spectrogram 1	1	327.117807400	327.631282200	679.300	3655.300	TURBERABLEST_20230104_170000.wav	27.2321	0.5135	Batrachyla leptopus	60	27.7456
45	Spectrogram 1	1	328.866397300	329.407627500	938.100	3234.800	TURBERABLEST_20230104_170000.wav	28.9807	0.5412	Batrachyla leptopus	60	29.5219
46	Spectrogram 1	1	330.531721000	331.100706500	1035.100	3428.900	TURBERABLEST_20230104_170000.wav	30.6460	0.5690	Batrachyla leptopus	60	31.215
47	Spectrogram 1	1	332.072145300	333.529303600	1002.800	3299.500	TURBERABLEST_20230104_170000.wav	32.1864	1.4572	Batrachyla leptopus	60	33.6436
48	Spectrogram 1	1	335.985656800	336.540764600	1067.500	3558.300	TURBERABLEST_20230104_170000.wav	36.0999	0.5551	Batrachyla leptopus	60	36.655
49	Spectrogram 1	1	339.233037900	341.245304000	808.700	3655.300	TURBERABLEST_20230104_170000.wav	39.3473	2.0123	Batrachyla leptopus	60	41.3596
50	Spectrogram 1	1	342.785728400	343.354714000	1067.500	3752.400	TURBERABLEST_20230104_170000.wav	42.9000	0.5690	Batrachyla leptopus	60	43.469
51	Spectrogram 1	1	344.478807500	346.005354200	1099.800	3493.600	TURBERABLEST_20230104_170000.wav	44.5931	1.5265	Batrachyla leptopus	60	46.1196
52	Spectrogram 1	1	347.476390800	349.336002200	1229.200	2943.700	TURBERABLEST_20230104_170000.wav	47.5907	1.8596	Batrachyla leptopus	60	49.4503
53	Spectrogram 1	1	360.028768200	360.618570400	1196.900	2652.500	TURBERABLEST_20230105_150000.wav	0.1659	0.5898	Batrachyla leptopus	60	0.7557
54	Spectrogram 1	1	361.548376100	362.922268100	1164.500	2846.600	TURBERABLEST_20230105_150000.wav	1.6855	1.3739	Batrachyla leptopus	60	3.0594
55	Spectrogram 1	1	363.345538100	371.352969500	808.700	2976.000	TURBERABLEST_20230105_150000.wav	3.4827	8.0074	Batrachyla leptopus	60	11.4901
56	Spectrogram 1	1	378.957948700	388.089473500	582.300	3008.400	TURBERABLEST_20230105_150000.wav	19.0951	9.1315	Batrachyla leptopus	60	28.2266
58	Spectrogram 1	1	388.533560400	394.667502600	711.700	3040.700	TURBERABLEST_20230105_150000.wav	28.6707	6.1339	Batrachyla leptopus	60	34.8046
59	Spectrogram 1	1	407.268453000	413.263618200	905.700	2846.600	TURBERABLEST_20230105_150000.wav	47.4056	5.9952	Batrachyla leptopus	60	53.4008
60	Spectrogram 1	1	545.565460300	546.162201300	1229.200	4561.100	TURBERABLEST_20230109_160000.wav	5.7712	0.5967	Batrachyla leptopus	60	6.3679
61	Spectrogram 1	1	547.203028600	551.518992400	873.400	4205.200	TURBERABLEST_20230109_160000.wav	7.4088	4.3160	Batrachyla leptopus	60	11.7248
62	Spectrogram 1	1	568.824475600	575.235971800	744.000	3623.000	TURBERABLEST_20230109_160000.wav	29.0302	6.4115	Batrachyla leptopus	60	35.4417
63	Spectrogram 1	1	579.662955100	583.770753500	355.800	4399.300	TURBERABLEST_20230109_160000.wav	39.8687	4.1078	Batrachyla leptopus	60	43.9765
64	Spectrogram 1	1	584.978113200	585.769141900	841.000	4334.600	TURBERABLEST_20230109_160000.wav	45.1838	0.7910	Batrachyla leptopus	60	45.9748
65	Spectrogram 1	1	587.309566300	589.099787300	1035.100	4658.100	TURBERABLEST_20230109_160000.wav	47.5153	1.7902	Batrachyla leptopus	60	49.3055
66	Spectrogram 1	1	590.584700900	594.525966900	1035.100	5078.600	TURBERABLEST_20230109_160000.wav	50.7904	3.9413	Batrachyla leptopus	60	54.7317
67	Spectrogram 1	1	596.718641700	597.398648900	1455.700	5305.100	TURBERABLEST_20230109_160000.wav	56.9244	0.6800	Batrachyla leptopus	60	57.6044
68	Spectrogram 1	1	598.106411500	599.535814300	1132.200	5434.500	TURBERABLEST_20230109_160000.wav	58.3121	1.4294	Batrachyla leptopus	60	59.7415
69	Spectrogram 1	1	202.980488194	202.980488194	9056.250	9056.250	TURBERABLEST_20230104_150000.wav	23.0491	0.0000	NA	60	
